id,name,vital-dog-breed-group,vital-height,vital-weight,vital-life-span,trait-adapts-well-to-apartment-living,trait-good-for-novice-owners,trait-sensitivity-level,trait-tolerates-being-alone,trait-tolerates-cold-climates,trait-tolerates-hot-climates,trait-affectionate-with-family,trait-compatible-with-kids,trait-dog-friendly,trait-friendly-toward-strangers,trait-amount-of-shedding,trait-drooling-potential,trait-easy-to-groom,trait-general-health,trait-potential-for-weight-gain,trait-size,trait-easy-to-train,trait-intelligence-level,trait-potential-for-mouthiness,trait-predatory-tendencies,trait-tendency-to-bark-or-howl,trait-wanderlust-level,trait-energy-level,trait-intensity-level-vigor,trait-need-for-exercise,trait-potential-for-playfulness
afador,Afador,mixed-breeds,20 to 29 inches,50 to 75 pounds,10 to 12 years,1,1,3,3,4,2,4,2,3,1,4,3,2,3,4,4,1,5,4,4,4,4,4,4,4,3
affenhuahua,Affenhuahua,mixed-breeds,6 to 12 inches,4 to 12 pounds,13 to 18 years,4,4,4,1,2,3,4,3,2,2,2,1,4,4,5,1,3,3,4,2,4,2,4,3,3,3
affenpinscher,Affenpinscher,companion-dogs,9 to 11 inches tall at the shoulder,7 to 9 pounds,12 to 14 years,5,4,3,1,3,3,5,1,4,3,1,1,3,4,3,1,2,4,4,3,2,2,4,3,3,4
afghan-hound,Afghan Hound,hounds,24 to 26 inches tall at the shoulder,50 to 60 pounds,10 to 12 years,5,3,5,2,5,5,5,5,4,2,4,1,1,3,1,4,1,4,3,5,2,5,5,2,4,4
airedale-terrier,Airedale Terrier,terriers,21 to 23 inches tall at the shoulder,40 to 65 pounds,10 to 13 years,1,2,3,2,3,3,4,4,4,3,2,1,2,3,4,3,4,5,5,5,4,4,5,3,5,5
akbash,Akbash,working-dogs,27 to 34 inches,75 to 140 pounds,10 to 12 years,1,2,3,4,4,2,5,4,3,2,4,2,3,4,4,4,3,4,3,1,3,1,2,2,2,3
akita,Akita,working-dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",70 to 130 pounds,10 to 12 years,2,2,5,1,5,2,5,1,1,2,5,5,1,4,4,4,2,3,3,4,5,4,4,3,4,5
akita-chow,Akita Chow,mixed-breeds,23 to 25 inches,88 to 145 pounds,10 to 12 years,2,1,4,2,5,2,1,1,1,2,4,3,1,2,4,4,2,4,3,4,2,3,4,4,4,2
akita-pit,Akita Pit,mixed-breeds,16 to 23 inches,30 to 70 pounds,10 to 12 years,3,1,2,4,3,3,4,3,3,2,3,3,4,4,4,4,3,4,3,4,3,1,3,4,3,3
akita-shepherd,Akita Shepherd,mixed-breeds,24 to 28 inches,75 to 120 pounds,10 to 13 years,3,3,2,3,4,3,4,3,3,3,4,2,3,3,3,4,4,4,2,3,1,2,3,3,4,3
alaskan-klee-kai,Alaskan Klee Kai,companion-dogs,13 to 17 inches,10 to 15 pounds,12 to 16 years,3,2,4,2,5,2,4,3,2,2,4,2,4,4,2,2,4,4,2,5,3,4,4,2,4,4
alaskan-malamute,Alaskan Malamute,working-dogs,"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder",75 to 100 pounds,12 to 15 years,1,1,4,1,5,2,4,3,2,5,5,1,1,4,3,4,4,4,3,4,5,5,5,5,5,5
american-bulldog,American Bulldog,working-dogs,20 to 28 inches,60 to 120 pounds,10 to 16 years,1,1,4,1,2,2,5,4,2,2,1,4,4,3,2,4,4,3,2,4,2,3,4,4,4,4
american-english-coonhound,American English Coonhound,hounds,23 to 26 inches tall at the shoulder,,10 to 12 years,1,2,5,2,4,4,5,5,4,5,3,1,5,4,3,3,5,4,3,5,5,5,5,5,5,5
american-eskimo-dog,American Eskimo Dog,companion-dogs,15 to 19 inches tall at the shoulder,Starts at 30 pounds,12 to 15 years,5,4,4,2,5,3,5,5,5,4,5,1,3,5,4,2,5,4,3,3,4,3,5,3,4,5
american-foxhound,American Foxhound,hounds,21 to 25 inches tall at the shoulder,40 to 60 pounds,12 to 13 years,1,2,2,1,4,4,4,5,5,4,3,1,5,5,5,3,2,3,3,4,5,5,5,4,5,5
american-hairless-terrier,American Hairless Terrier,terriers,12 to 16 inches,10 to 16 pounds,13 to 16 years,4,3,3,2,1,3,4,4,3,3,1,1,5,4,4,2,3,4,3,4,3,3,4,3,3,5
american-leopard-hound,American Leopard Hound,hounds,21 to 27 Inches.,35 to 75 pounds.,12 to 15 years.,2,4,3,3,4,4,5,4,4,3,2,2,4,4,2,4,4,4,3,4,4,4,4,3,4,4
american-pit-bull-terrier,American Pit Bull Terrier,terriers,17 to 19 inches tall at the shoulder,30 to 85 pounds,12 to 16 years,3,2,4,1,2,3,5,5,1,5,4,1,5,4,3,3,4,4,5,3,3,4,4,5,4,5
american-pugabull,American Pugabull,mixed-breeds,12 to 20 inches,25 to 70 pounds,12 to 14 years,3,3,4,1,2,3,5,4,3,3,3,3,4,2,3,3,3,3,2,4,4,2,4,4,3,5
american-staffordshire-terrier,American Staffordshire Terrier,terriers,16 to 19 inches,40 to 60 pounds,10 to 15 years,2,2,3,2,2,3,4,4,2,4,2,3,4,3,2,3,4,4,5,3,4,3,3,5,3,4
american-water-spaniel,American Water Spaniel,sporting-dogs,"1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder",25 to 45 pounds,12 to 15 years,2,2,5,1,2,4,5,5,2,3,3,1,3,3,3,3,4,3,5,2,3,5,5,2,5,5
anatolian-shepherd-dog,Anatolian Shepherd Dog,working-dogs,"2 feet, 3 inches to 2 feet, 5 inches tall at the shoulder",80 to 150 pounds,11 to 13 years,1,2,4,3,5,3,3,2,2,1,2,3,4,3,3,5,4,4,2,2,2,4,3,3,3,3
appenzeller-sennenhunde,Appenzeller Sennenhunde,herding-dogs,19 to 22 inches tall at the shoulder,48 to 55 pounds,9 to 12 years,1,3,3,1,5,4,5,5,3,2,3,1,5,4,3,3,4,4,5,3,5,3,4,4,5,4
auggie,Auggie,mixed-breeds,10 to 13 inches,20 to 30 pounds,12 to 15 years,2,3,4,3,4,3,5,5,5,4,4,1,2,3,4,3,5,5,3,3,4,3,5,4,5,5
aussiedoodle,Aussiedoodle,mixed-breeds,10 to 15 inches,25 to 70 pounds,10 to 13 years,2,3,3,2,3,3,5,4,4,4,3,4,3,4,4,3,5,5,3,3,2,3,5,4,5,5
aussiepom,Aussiepom,mixed-breeds,11 to 17 inches,10 to 30 pounds,12 to 15 years,3,2,3,2,3,3,4,3,4,4,3,2,2,4,4,3,4,4,4,2,3,2,5,3,4,5
australian-cattle-dog,Australian Cattle Dog,herding-dogs,17 to 20 inches tall at the shoulder,30 to 50 pounds,12 to 15 years,2,1,4,3,4,4,5,3,4,2,3,1,4,5,4,3,5,5,5,4,2,4,5,5,5,5
australian-kelpie,Australian Kelpie,herding-dogs,15 to 20 inches,25 to 46 pounds,10 to 15 years,2,2,4,2,3,5,4,2,3,2,3,1,4,3,2,3,5,5,5,4,4,4,5,3,5,4
australian-retriever,Australian Retriever,mixed-breeds,19 to 23 inches,25 to 60 pounds,12 to 15 years,1,4,3,2,4,4,4,4,3,3,3,2,3,4,4,4,4,4,2,3,2,4,5,3,5,4
australian-shepherd,Australian Shepherd,herding-dogs,18 to 23 inches tall at the shoulder,40 to 65 pounds,12 to 15 years,1,2,5,2,4,4,5,4,5,3,3,1,1,2,4,3,5,5,4,4,4,5,5,4,5,5
australian-shepherd-husky,Australian Shepherd Husky,mixed-breeds,18 to 25 inches,40 to 65 pounds,12 to 15 years,1,2,4,1,5,4,5,3,2,2,4,2,3,3,4,4,4,5,3,4,5,5,5,5,5,5
australian-shepherd-lab-mix,Australian Shepherd Lab Mix,mixed-breeds,22 to 25 inches,40 to 80 pounds,12 to 15 years,2,2,5,4,5,4,4,4,4,4,4,2,4,4,3,4,5,5,4,3,3,5,5,5,5,5
australian-shepherd-pit-bull-mix,Australian Shepherd Pit Bull Mix,mixed-breeds,17 to 23 inches,30 to 85 pounds,10 to 16 years,2,3,3,2,3,3,4,4,3,3,4,2,3,4,5,4,4,4,3,4,2,3,4,3,4,4
australian-stumpy-tail-cattle-dog,Australian Stumpy Tail Cattle Dog,herding-dogs,17 to 20 inches,35 to 51 pounds,13 to 15 years,1,2,3,2,4,4,3,3,2,2,4,2,3,4,4,3,3,4,3,3,2,4,5,4,5,3
australian-terrier,Australian Terrier,terriers,10 to 11 inches tall at the shoulder,14 to 16 pounds,Up to 15 years,5,3,2,2,3,4,4,3,2,3,1,1,5,5,3,1,3,4,1,5,5,4,5,5,4,5
azawakh,Azawakh,hounds,23 to 27 inches tall at the shoulder,33 to 55 pounds,12 to 15 years,5,2,3,3,1,5,4,2,3,2,3,1,5,3,3,4,3,3,3,4,1,2,3,2,4,3
barbet,Barbet,sporting-dogs,20 to 25 inches tall at the shoulder,37 to 62 pounds,13 to 15 years,3,2,3,1,4,4,5,4,4,3,2,1,1,4,3,3,4,4,2,3,3,3,5,3,3,4
basenji,Basenji,hounds,16 to 17 inches tall at the shoulder,22 to 24 pounds,10 to 12 years,5,4,3,4,1,4,5,5,4,5,1,1,5,2,2,2,1,4,5,5,1,5,5,1,5,2
bassador,Bassador,mixed-breeds,13 to 20 inches,45 to 70 pounds,10 to 12 years,2,2,3,3,4,4,3,3,3,3,5,4,3,3,3,4,2,3,2,4,3,3,3,2,4,3
basset-fauve-de-bretagne,Basset Fauve de Bretagne,hounds,12 to 15 inches.,25 to 35 pounds.,12 to 15 years.,4,4,3,3,3,1,5,4,4,3,2,1,4,5,1,2,3,5,3,3,2,1,4,2,4,3
basset-hound,Basset Hound,hounds,Up to 14 inches tall at the shoulder,50 to 65 pounds,10 to 12 years,5,4,4,3,2,2,5,5,5,5,4,4,5,1,5,3,2,4,3,5,4,5,2,2,2,2
basset-retriever,Basset Retriever,mixed-breeds,10 to 14 inches,40 to 70 pounds,10 to 12 years,3,3,2,2,4,4,4,4,3,4,2,2,4,4,4,3,4,5,3,5,2,4,4,2,4,4
bavarian-mountain-scent-hound,Bavarian Mountain Scent Hound,hounds,17 to 20 inches.,44 to 55 pounds.,10 to 14 years.,2,3,2,2,2,3,5,4,3,2,1,2,3,4,2,3,3,4,2,4,2,2,4,2,4,4
beabull,Beabull,mixed-breeds,12 to 16 inches,30 to 60 pounds,10 to 13 years,4,3,4,4,2,2,5,5,4,3,4,3,5,3,4,3,3,3,4,4,4,4,3,4,3,5
beagle,Beagle,hounds,13 to 15 inches tall at the shoulder,18 to 30 pounds,10 to 15 years,4,3,4,1,2,4,5,5,5,5,3,1,4,1,5,2,1,4,3,5,5,5,4,5,4,5
beaglier,Beaglier,mixed-breeds,12 to 16 inches,10 to 20 pounds,10 to 15 years,5,4,4,1,2,3,5,5,5,5,3,1,4,2,5,2,2,4,3,3,4,4,3,3,4,5
bearded-collie,Bearded Collie,herding-dogs,20 to 22 inches tall at the shoulder,45 to 55 pounds,12 to 14 years,3,4,4,2,4,3,5,4,5,4,4,1,2,3,4,3,5,4,3,3,3,5,4,4,4,5
bedlington-terrier,Bedlington Terrier,terriers,15 to 16 inches tall at the shoulder,17 to 23 pounds,14 to 16 years,4,4,3,3,4,3,5,4,4,5,5,1,1,4,3,3,3,5,4,5,3,4,4,2,4,5
belgian-laekenois,Belgian Laekenois,herding-dogs,22 to 26 inches,44 to 66 pounds,10 to 12 years,3,3,2,2,3,3,4,4,4,3,3,3,4,3,3,4,3,4,2,4,2,3,4,3,4,4
belgian-malinois,Belgian Malinois,herding-dogs,22 to 26 inches tall at the shoulder,40 to 80 pounds,12 to 14 years,1,3,5,3,4,4,5,4,2,3,2,1,5,4,2,4,5,5,3,4,2,3,5,4,5,5
belgian-sheepdog,Belgian Sheepdog,herding-dogs,22 to 26 inches tall at the shoulder,60 to 75 pounds,10 to 12 years,3,3,5,3,4,3,4,5,5,4,5,1,3,3,2,4,5,5,2,5,1,4,5,3,5,5
belgian-tervuren,Belgian Tervuren,herding-dogs,21 to 26 inches tall at the shoulder,40 to 70 pounds,10 to 12 years,3,3,5,1,4,3,4,3,3,3,4,1,3,3,2,4,5,5,2,2,5,4,5,3,4,5
bergamasco-sheepdog,Bergamasco Sheepdog,herding-dogs,20 to 24 inches,55 to 85 pounds,13 to 15 years,3,4,2,3,4,3,4,5,4,4,2,1,4,5,2,3,3,5,2,2,3,3,4,2,3,4
berger-picard,Berger Picard,herding-dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",50 to 70 pounds,13 to 14 years,3,4,5,3,4,3,5,5,3,2,4,1,5,5,3,4,4,4,2,3,2,2,5,3,5,5
bernedoodle,Bernedoodle,mixed-breeds,"From 10 to 29 inches tall at the shoulder, as sizes vary from tiny to standard",From 10 to 90 pounds,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,3,3,4,2,5,3,5,5,4,3,1,2,3,4,3,3,4,5,4,3,3,3,4,3,3,5
bernese-mountain-dog,Bernese Mountain Dog,working-dogs,23 to 28 inches,70 to 115 pounds,6 to 10 years,1,2,4,1,5,1,5,5,3,5,5,4,3,1,4,5,4,4,5,5,4,3,4,3,3,4
bichon-frise,Bichon Frise,companion-dogs,9 to 11 inches tall at the shoulder,7 to 12 pounds,12 to 15 years,5,5,5,1,3,4,5,4,4,5,2,1,1,4,4,2,5,4,3,4,2,2,5,3,3,5
biewer-terrier,Biewer Terrier,terriers,7 to 11 inches,4 to 8 pounds,12 to 15 years,5,3,3,3,2,3,5,4,3,3,1,1,4,4,3,1,3,4,3,1,3,1,5,3,3,4
black-and-tan-coonhound,Black and Tan Coonhound,hounds,23 to 27 inches tall at the shoulder,75 to 100 pounds,10 to 12 years,1,2,3,2,4,4,5,5,5,5,5,3,4,5,5,3,2,5,1,5,5,5,5,5,5,5
black-mouth-cur,Black Mouth Cur,working-dogs,16 to 25 inches,40 to 95 pounds,12 to 18 years,1,2,4,2,3,3,5,5,3,3,3,2,5,4,2,4,3,4,3,5,4,4,4,3,5,4
black-russian-terrier,Black Russian Terrier,working-dogs,26 to 28 inches at the shoulder,80 to 140 pounds,10 to 11 years,3,2,4,2,4,3,4,5,2,2,3,3,2,3,3,5,4,4,4,2,3,3,3,5,4,5
bloodhound,Bloodhound,hounds,23 to 27 inches ttall at the shoulder,80 to 110 pounds,11 to 15 years,1,2,4,2,3,3,5,5,5,5,4,5,1,3,3,4,3,4,5,3,4,5,5,4,5,3
blue-lacy,Blue Lacy,working-dogs,17 to 25 inches,25 to 50 pounds,12 to 16 years,1,1,4,2,4,5,4,3,2,2,3,2,5,4,2,3,5,5,4,5,5,4,5,5,5,4
bluetick-coonhound,Bluetick Coonhound,hounds,23 to 30 inches tall at the shoulder,45 to 100 pounds,10 to 12 years,2,2,5,2,3,3,5,5,3,3,2,2,5,4,3,3,2,4,3,4,4,5,5,4,5,5
bocker,Bocker,mixed-breeds,12 to 15 inches,20 to 30 pounds,12 to 15 years,5,3,5,1,3,4,5,4,4,4,3,1,3,3,4,2,4,4,4,5,5,5,4,3,4,4
boerboel,Boerboel,working-dogs,22 to 28 inches,110 to 200 pounds,10 to 12 years,1,1,3,2,3,4,4,4,2,2,3,4,4,4,3,5,2,4,3,3,3,4,3,4,4,4
boglen-terrier,Boglen Terrier,mixed-breeds,12 to 17 inches,10 to 40 pounds,10 to 15 years,4,4,4,2,2,3,5,5,5,5,2,1,4,3,3,2,2,2,4,4,4,5,4,5,4,5
bohemian-shepherd,Bohemian Shepherd,herding-dogs,19 to 22 inches,35 to 60 pounds,10 to 15 years,2,3,4,2,4,3,4,4,4,3,4,1,4,4,3,3,4,5,2,2,2,3,4,3,4,5
bolognese,Bolognese,companion-dogs,9 to 12 inches tall at the shoulder,8 to 14 pounds,12 to 14 years,5,3,5,2,2,3,5,5,5,5,1,1,1,5,3,1,5,4,4,5,4,1,3,3,4,3
borador,Borador,hybrids,19 to 24 inches,40 to 65 pounds,10 to 15 years,3,3,2,2,3,3,5,4,4,4,4,3,3,3,4,4,4,5,3,3,2,3,4,3,4,5
border-collie,Border Collie,herding-dogs,18 to 22 inches tall at the shoulder,30 to 45 pounds,12 to 15 years,2,2,5,1,4,4,5,4,3,5,3,1,3,2,3,3,5,5,3,3,2,3,5,3,5,5
border-sheepdog,Border Sheepdog,mixed-breeds,16 to 22 inches,25 to 45 pounds,12 to 15 years,2,3,2,2,4,2,5,4,3,3,3,1,3,4,2,3,4,5,4,3,4,2,5,3,5,4
border-terrier,Border Terrier,terriers,10 to 11 inches tall at the shoulder,11 to 15 pounds,12 to 15 years,4,3,3,1,4,3,5,4,2,5,3,1,2,4,5,2,3,5,5,5,1,4,4,4,5,5
bordoodle,Bordoodle,mixed-breeds,12 to 22 inches,30 to 60 pounds,12 to 15 years,4,4,3,3,4,4,4,5,3,2,2,2,4,4,3,3,4,5,3,2,2,3,3,2,3,4
borzoi,Borzoi,hounds,26 to 32 inches tall at the shoulder,55 to 105 pounds,10 to 12 years,5,3,5,1,4,3,4,3,4,4,5,1,4,4,2,5,3,4,3,5,2,4,2,2,2,3
boshih,BoShih,mixed-breeds,12 to 15 inches,10 to 20 pounds,12 to 15 years,5,4,3,1,2,2,4,2,3,4,2,1,5,3,3,2,2,3,1,1,2,2,3,2,3,5
bossie,Bossie,mixed-breeds,15 to 23 inches,25 to 40 pounds,12 to 15 years,2,2,3,5,3,3,4,4,4,4,2,1,3,3,3,3,4,4,3,3,3,5,4,4,5,5
boston-boxer,Boston Boxer,mixed-breeds,15 to 23 inches,22 to 55 pounds,12 to 15 years,4,3,3,2,3,3,4,4,4,2,3,3,4,4,4,3,3,4,3,3,3,2,4,3,4,5
boston-terrier,Boston Terrier,companion-dogs,12 to 15 inches tall at the shoulder,10 to 25 pounds,13 to 15 years,5,4,5,3,3,2,4,5,5,4,2,1,5,4,3,2,4,4,2,2,3,5,4,5,4,5
boston-terrier-pekingese-mix,Boston Terrier Pekingese Mix,mixed-breeds,10 to 15 inches,10 to 25 pounds,10 to 15 years,4,3,3,2,2,2,4,4,3,3,2,2,4,4,4,1,2,4,3,2,4,2,3,3,3,4
bouvier-des-flandres,Bouvier des Flandres,herding-dogs,23 to 26 inches tall at the shoulder,70 to 100 pounds,10 to 12 years,3,2,4,2,4,2,5,5,2,2,1,1,2,3,4,4,5,4,2,2,4,2,4,5,4,4
boxador,Boxador,mixed-breeds,23 to 25 inches,50 to 110 pounds,12 to 15 years,2,2,3,1,2,2,5,4,4,4,4,2,5,2,4,4,5,5,3,2,3,3,5,5,5,5
boxer,Boxer,working-dogs,21 to 25 inches at the shoulder,60 to 70 pounds,10 to 12 years,4,3,4,1,2,1,5,4,3,4,4,2,5,2,4,3,4,4,2,3,3,3,5,5,5,5
boxerdoodle,Boxerdoodle,mixed-breeds,10 to 25 inches,12 to 70 pounds,10 to 12 years,1,3,3,2,3,3,4,3,4,3,2,2,3,3,4,3,4,4,2,3,2,4,4,4,4,5
boxmatian,Boxmatian,mixed-breeds,19 to 25 inches,50 to 90 pounds,10 to 13 years,1,2,3,2,2,4,4,3,2,1,3,2,3,5,4,5,3,4,4,3,3,4,5,4,5,4
boxweiler,Boxweiler,mixed-breeds,21 to 27 inches,70 to 100 pounds,8 to 13 years,2,3,4,2,3,2,5,4,4,2,3,2,3,3,4,4,4,4,2,2,3,1,4,3,4,4
boykin-spaniel,Boykin Spaniel,sporting-dogs,14 to 18 inches tall at the shoulder,25 to 40 pounds,10 to 12 years,1,3,4,3,3,4,5,5,4,3,4,1,1,2,4,3,4,4,4,2,3,4,5,5,5,4
bracco-italiano,Bracco Italiano,sporting-dogs,22 to 26 inches,55 to 90 pounds,10 to 14 years,1,2,4,3,3,3,5,4,5,3,3,2,5,2,3,4,3,4,2,5,2,3,4,4,5,4
braque-du-bourbonnais,Braque du Bourbonnais,working-dogs,18 to 23 inches.,35 to 55 pounds.,12 to 15 years.,1,3,3,2,2,3,5,4,4,4,2,1,4,4,1,3,4,4,3,4,3,2,5,2,5,3
briard,Briard,herding-dogs,22 to 27 inches tall at the shoulder,70 to 100 pounds,10 to 12 years,3,3,4,3,4,3,4,5,5,2,1,1,1,3,3,4,4,4,2,3,4,5,4,4,4,4
brittany,Brittany,sporting-dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 40 pounds,10 to 13 years,1,3,5,1,4,3,5,5,5,4,3,5,3,4,3,3,3,5,3,5,3,4,5,3,5,5
